learning_rate,batch_size,layer_1,layer_2,layer_3,activation,accuracy,loss,val_accuracy,val_loss,Dataset,Run,epoch
0.0001,256,16,16,0,relu,0.35938334465026855,2.0195152759552,0.5424000024795532,1.7168149948120117,mnist,0,1
0.0001,256,16,16,0,relu,0.6456500291824341,1.4732966423034668,0.7232000231742859,1.227311372756958,mnist,0,2
0.0001,256,16,16,0,relu,0.7372166514396667,1.0721087455749512,0.7767999768257141,0.8942089080810547,mnist,0,3
0.0001,256,16,16,0,relu,0.7979666590690613,0.8061903119087219,0.8338000178337097,0.6902415156364441,mnist,0,4
0.0001,256,16,16,0,relu,0.8383333086967468,0.6483501195907593,0.8554999828338623,0.5738021731376648,mnist,0,5
0.0001,256,16,16,0,relu,0.8565833568572998,0.5523890256881714,0.8741000294685364,0.5001038312911987,mnist,0,6
0.0001,256,16,16,0,relu,0.871483325958252,0.488925039768219,0.8827999830245972,0.44997671246528625,mnist,0,7
0.0001,256,16,16,0,relu,0.882183313369751,0.4440901279449463,0.890500009059906,0.41299134492874146,mnist,0,8
0.0001,256,16,16,0,relu,0.8896499872207642,0.411054790019989,0.8985999822616577,0.38485047221183777,mnist,0,9
0.0001,256,16,16,0,relu,0.8961666822433472,0.385379433631897,0.9031000137329102,0.3628067970275879,mnist,0,10
0.0001,256,16,16,0,relu,0.901199996471405,0.36439818143844604,0.9060999751091003,0.34652504324913025,mnist,0,11
0.0001,256,16,16,0,relu,0.9044166803359985,0.34791117906570435,0.9093999862670898,0.3306500017642975,mnist,0,12
0.0001,256,16,16,0,relu,0.9073500037193298,0.33441081643104553,0.9125000238418579,0.3191884160041809,mnist,0,13
0.0001,256,16,16,0,relu,0.9103000164031982,0.3229875862598419,0.9153000116348267,0.31023970246315,mnist,0,14
0.0001,256,16,16,0,relu,0.9130499958992004,0.3134251534938812,0.917900025844574,0.30129286646842957,mnist,0,15
0.0001,256,16,16,0,relu,0.9148499965667725,0.30522987246513367,0.9190000295639038,0.29424482583999634,mnist,0,16
0.0001,256,16,16,0,relu,0.9168833494186401,0.2979092001914978,0.9199000000953674,0.28915923833847046,mnist,0,17
0.0001,256,16,16,0,relu,0.9182166457176208,0.29168465733528137,0.9218999743461609,0.2826444208621979,mnist,0,18
0.0001,256,16,16,0,relu,0.9195500016212463,0.28603675961494446,0.9222000241279602,0.27815988659858704,mnist,0,19
0.0001,256,16,16,0,relu,0.9205499887466431,0.2809448838233948,0.9226999878883362,0.27482011914253235,mnist,0,20
0.0001,256,16,16,0,relu,0.26026666164398193,2.0577149391174316,0.4099999964237213,1.7934011220932007,mnist,1,1
0.0001,256,16,16,0,relu,0.529783308506012,1.5776175260543823,0.6215000152587891,1.354610562324524,mnist,1,2
0.0001,256,16,16,0,relu,0.6746833324432373,1.1932213306427002,0.7319999933242798,1.0156307220458984,mnist,1,3
0.0001,256,16,16,0,relu,0.7635166645050049,0.9047457575798035,0.8105000257492065,0.7770297527313232,mnist,1,4
0.0001,256,16,16,0,relu,0.8222666382789612,0.7143516540527344,0.8483999967575073,0.6321532130241394,mnist,1,5
0.0001,256,16,16,0,relu,0.8488500118255615,0.600182831287384,0.8682000041007996,0.5441674590110779,mnist,1,6
0.0001,256,16,16,0,relu,0.8642666935920715,0.5275188684463501,0.8777999877929688,0.48633646965026855,mnist,1,7
0.0001,256,16,16,0,relu,0.8755666613578796,0.4779021739959717,0.8866999745368958,0.4469841718673706,mnist,1,8
0.0001,256,16,16,0,relu,0.8824499845504761,0.4424920678138733,0.8920999765396118,0.41726380586624146,mnist,1,9
0.0001,256,16,16,0,relu,0.8886666893959045,0.4154062271118164,0.8981000185012817,0.395882248878479,mnist,1,10
0.0001,256,16,16,0,relu,0.8930333256721497,0.3944626748561859,0.9000999927520752,0.37716108560562134,mnist,1,11
0.0001,256,16,16,0,relu,0.8971333503723145,0.3773517310619354,0.9034000039100647,0.36275050044059753,mnist,1,12
0.0001,256,16,16,0,relu,0.9002166390419006,0.3631556034088135,0.9054999947547913,0.3505277633666992,mnist,1,13
0.0001,256,16,16,0,relu,0.9024333357810974,0.3508155047893524,0.9081000089645386,0.3394249379634857,mnist,1,14
0.0001,256,16,16,0,relu,0.9056666493415833,0.3400226831436157,0.909500002861023,0.3308507204055786,mnist,1,15
0.0001,256,16,16,0,relu,0.9078166484832764,0.3305327892303467,0.9121999740600586,0.32227468490600586,mnist,1,16
0.0001,256,16,16,0,relu,0.909583330154419,0.32207006216049194,0.9136000275611877,0.31500595808029175,mnist,1,17
0.0001,256,16,16,0,relu,0.9121500253677368,0.31449824571609497,0.9157999753952026,0.3082805871963501,mnist,1,18
0.0001,256,16,16,0,relu,0.9136999845504761,0.30759239196777344,0.916700005531311,0.30227965116500854,mnist,1,19
0.0001,256,16,16,0,relu,0.9153500199317932,0.3012465536594391,0.9175999760627747,0.29796168208122253,mnist,1,20
0.0001,256,16,16,0,relu,0.3454166650772095,1.9998623132705688,0.5396999716758728,1.7240535020828247,mnist,2,1
0.0001,256,16,16,0,relu,0.6264833211898804,1.5011192560195923,0.7001000046730042,1.2617239952087402,mnist,2,2
0.0001,256,16,16,0,relu,0.7361999750137329,1.1159652471542358,0.7835999727249146,0.9465541243553162,mnist,2,3
0.0001,256,16,16,0,relu,0.8026666641235352,0.8612163662910461,0.8319000005722046,0.7422387003898621,mnist,2,4
0.0001,256,16,16,0,relu,0.8375666737556458,0.6941314935684204,0.8557000160217285,0.6105847358703613,mnist,2,5
0.0001,256,16,16,0,relu,0.8571000099182129,0.5864334106445312,0.8687999844551086,0.5268718004226685,mnist,2,6
0.0001,256,16,16,0,relu,0.8697333335876465,0.5157727003097534,0.8788999915122986,0.47094786167144775,mnist,2,7
0.0001,256,16,16,0,relu,0.8796333074569702,0.4666222631931305,0.8859999775886536,0.43036043643951416,mnist,2,8
0.0001,256,16,16,0,relu,0.8869333267211914,0.4311297833919525,0.8903999924659729,0.4020885229110718,mnist,2,9
0.0001,256,16,16,0,relu,0.8921666741371155,0.40489625930786133,0.8966000080108643,0.38165923953056335,mnist,2,10
